reported_elapsed_s,mz_44_au,mz_28_au
336.0,0.4842396,0.6382054
338.0,0.4929906,0.6326147
340.0,0.5016711,0.6269188
342.0,0.510236,0.6211287
344.0,0.5186432,0.615257
346.0,0.5268542,0.6093173
348.0,0.5348347,0.6033244
350.0,0.5425555,0.5972939
352.0,0.5499935,0.5912419
354.0,0.5571314,0.5851852
356.0,0.5639587,0.5791408
358.0,0.5704716,0.5731257
360.0,0.576673,0.567157
362.0,0.5825723,0.5612512
364.0,0.5881856,0.5554245
366.0,0.5935343,0.549692
368.0,0.5986455,0.5440683
370.0,0.6035508,0.5385667
372.0,0.6082856,0.5331992
374.0,0.612888,0.5279765
376.0,0.6173982,0.5229078
378.0,0.6218572,0.5180006
380.0,0.626306,0.5132608
382.0,0.6307844,0.5086925
384.0,0.6353301,0.504298
386.0,0.6399776,0.5000777
388.0,0.6447577,0.4960303
390.0,0.6496964,0.4921529
392.0,0.6548143,0.4884406
394.0,0.6601261,0.4848871
396.0,0.6656404,0.4814844
398.0,0.6713591,0.4782235
400.0,0.6772777,0.4750936
402.0,0.683385,0.4720833
404.0,0.6896637,0.4691801
406.0,0.6960907,0.4663707
408.0,0.7026372,0.4636413
410.0,0.70927,0.4609778
412.0,0.715952,0.4583661
414.0,0.7226428,0.4557918
416.0,0.7293001,0.4532412
418.0,0.7358803,0.4507007
420.0,0.7423397,0.4481577
422.0,0.7486358,0.4456002
424.0,0.7547275,0.4430172
426.0,0.760577,0.440399
428.0,0.7661502,0.4377371
430.0,0.7714174,0.4350245
432.0,0.7763544,0.4322557
434.0,0.7809427,0.4294266
436.0,0.7851702,0.426535
438.0,0.7890313,0.4235802
440.0,0.7925274,0.4205632
442.0,0.7956663,0.4174868
444.0,0.7984626,0.4143552
446.0,0.8009369,0.4111742
448.0,0.8031159,0.4079512
450.0,0.8050309,0.4046948
452.0,0.8067182,0.401415
454.0,0.8082172,0.3981226
456.0,0.8095703,0.3948297
458.0,0.8108214,0.3915489
460.0,0.8120152,0.3882934
462.0,0.8131958,0.3850767
464.0,0.8144063,0.3819128
466.0,0.815687,0.3788154
468.0,0.8170751,0.375798
470.0,0.8186038,0.3728739
472.0,0.8203011,0.3700554
474.0,0.8221896,0.3673544
476.0,0.8242857,0.3647816
478.0,0.8265997,0.3623467
480.0,0.8291348,0.3600581
482.0,0.8318879,0.3579227
484.0,0.834849,0.3559462
486.0,0.8380021,0.3541323
488.0,0.8413251,0.3524833
490.0,0.8447904,0.3509998
492.0,0.848366,0.3496807
494.0,0.8520157,0.3485229
496.0,0.8557004,0.3475221
498.0,0.8593791,0.346672
500.0,0.8630093,0.3459649
502.0,0.8665489,0.3453916
504.0,0.8699563,0.3449416
506.0,0.8731924,0.344603
508.0,0.8762205,0.3443632
510.0,0.8790082,0.3442084
512.0,0.8815273,0.3441242
514.0,0.8837551,0.3440957
516.0,0.8856748,0.3441077
518.0,0.8872757,0.3441447
520.0,0.8885538,0.3441915
522.0,0.8895119,0.344233
524.0,0.890159,0.3442547
526.0,0.8905111,0.3442427
528.0,0.8905898,0.344184
530.0,0.8904225,0.3440665
532.0,0.8900417,0.3438795
534.0,0.8894839,0.3436133
536.0,0.8887891,0.34326
538.0,0.8879998,0.342813
540.0,0.8871598,0.3422674
542.0,0.8863136,0.3416199
544.0,0.8855051,0.340869
546.0,0.8847763,0.340015
548.0,0.884167,0.3390598
550.0,0.8837134,0.3380071
552.0,0.8834473,0.3368621
554.0,0.8833955,0.3356316
556.0,0.8835793,0.3343239
558.0,0.8840135,0.3329486
560.0,0.8847067,0.3315164
562.0,0.8856607,0.3300392
564.0,0.8868706,0.3285295
566.0,0.8883249,0.3270008
568.0,0.8900059,0.3254669
570.0,0.8918901,0.3239419
572.0,0.8939485,0.32244
574.0,0.8961476,0.3209753
576.0,0.8984503,0.3195616
578.0,0.9008163,0.3182121
580.0,0.9032036,0.3169395
582.0,0.9055693,0.3157554
584.0,0.9078704,0.3146705
586.0,0.9100651,0.3136942
588.0,0.912114,0.3128346
590.0,0.9139803,0.3120985
592.0,0.9156315,0.3114909
594.0,0.9170398,0.3110153
596.0,0.9181826,0.3106736
598.0,0.9190434,0.3104659
600.0,0.9196121,0.3103905
602.0,0.919885,0.3104442
604.0,0.9198652,0.3106221
606.0,0.9195624,0.3109175
608.0,0.9189927,0.3113226
